accelerometerAccelerationX,accelerometerAccelerationY,accelerometerAccelerationZ,motionAttitudeReferenceFrame,motionGravityX,motionGravityY,motionGravityZ,motionHeading,motionMagneticFieldAccuracy,motionMagneticFieldX,motionMagneticFieldY,motionMagneticFieldZ,motionPitch,motionQuaternionW,motionQuaternionX,motionQuaternionY,motionQuaternionZ,motionRoll,motionRotationRateX,motionRotationRateY,motionRotationRateZ,motionUserAccelerationX,motionUserAccelerationY,motionUserAccelerationZ,motionYaw,activity
-0.537125,-0.143661,-0.670120,XArbitraryZVertical,0.557399,0.355605,-0.750235,-1.000000,-1.000000,0.000000,0.000000,0.000000,-0.363561,0.025448,0.292641,0.198100,-0.935131,0.638984,1.337771,-1.760708,-1.862588,0.547658,0.107606,0.117178,-2.965711,0
0.206558,0.228638,-0.745636,XArbitraryZVertical,0.030808,0.453155,-0.890899,-1.000000,-1.000000,0.000000,0.000000,0.000000,-0.470302,-0.129393,0.046710,0.228842,-0.963695,0.034567,0.300791,-1.877341,-0.923092,-0.578263,-0.605789,0.263153,2.882937,0
-0.159821,0.298111,-0.951675,XArbitraryZVertical,-0.111315,0.280012,-0.953521,-1.000000,-1.000000,0.000000,0.000000,0.000000,-0.283806,-0.115261,-0.039410,0.147263,-0.981568,-0.116215,0.204300,0.611676,0.545072,0.356173,0.080783,-0.084046,2.891190,0
-0.140762,0.397034,-0.902115,XArbitraryZVertical,-0.117113,0.288335,-0.950341,-1.000000,-1.000000,0.000000,0.000000,0.000000,-0.292488,-0.084982,-0.046514,0.150553,-0.983844,-0.122615,-0.455031,0.257038,-0.002136,0.019366,-0.004934,-0.008812,2.951182,0
-0.106812,0.431030,-0.895737,XArbitraryZVertical,-0.109047,0.397530,-0.911087,-1.000000,-1.000000,0.000000,0.000000,0.000000,-0.408823,-0.090720,-0.036666,0.207635,-0.973300,-0.119122,-0.427515,-0.026180,-0.082913,-0.022377,0.016655,0.014297,2.930990,0
-0.136307,0.452515,-0.895996,XArbitraryZVertical,-0.119411,0.441537,-0.889262,-1.000000,-1.000000,0.000000,0.000000,0.000000,-0.457311,-0.101801,-0.037301,0.232331,-0.966575,-0.133482,-0.120165,0.001817,-0.115904,0.000194,-0.005670,0.002497,2.900616,0
-0.178757,0.347977,-0.924576,XArbitraryZVertical,-0.141633,0.438136,-0.887681,-1.000000,-1.000000,0.000000,0.000000,0.000000,-0.453523,-0.099650,-0.049379,0.231778,-0.966390,-0.158220,0.166781,-0.123446,0.088619,-0.006041,-0.010416,-0.007674,2.899509,0
-0.101227,0.252090,-1.002197,XArbitraryZVertical,-0.135640,0.362163,-0.922193,-1.000000,-1.000000,0.000000,0.000000,0.000000,-0.370588,-0.106544,-0.048695,0.191135,-0.974549,-0.146037,0.312844,0.131363,-0.207805,-0.026241,0.002796,-0.012179,2.896384,0
0.362823,0.015808,-0.903290,XArbitraryZVertical,-0.014048,0.248272,-0.968589,-1.000000,-1.000000,0.000000,0.000000,0.000000,-0.250896,-0.129384,0.009298,0.124977,-0.983643,-0.014502,0.964512,1.378507,-0.321051,-0.074835,0.005757,-0.041635,2.878193,0
0.940475,0.175201,-0.311554,XArbitraryZVertical,0.551608,0.037569,-0.833257,-1.000000,-1.000000,0.000000,0.000000,0.000000,-0.037578,-0.238017,0.283907,-0.052613,-0.927349,0.584758,1.078132,3.177382,-1.099003,-0.138766,0.006834,-0.036784,2.650424,0
1.285980,0.136948,0.085022,XArbitraryZVertical,0.943721,0.159451,-0.289769,-1.000000,-1.000000,0.000000,0.000000,0.000000,-0.160135,-0.331903,0.576085,-0.152450,-0.731249,1.272884,0.088958,2.153640,-0.398606,0.007085,0.016299,0.016667,2.407891,0
0.634613,-0.173386,0.159851,XArbitraryZVertical,0.977105,0.011420,0.212449,-1.000000,-1.000000,0.000000,0.000000,0.000000,-0.011421,-0.242133,0.721769,-0.292017,-0.578919,1.784891,-0.278185,1.716566,1.887786,0.451911,0.037759,-0.177247,2.363484,0
1.069885,0.075104,-0.162491,XArbitraryZVertical,0.914856,-0.259051,0.309728,-1.000000,-1.000000,0.000000,0.000000,0.000000,0.262040,-0.071323,0.746097,-0.313374,-0.583137,1.897238,-2.022401,-0.483270,-0.477344,-0.217590,0.156192,-0.154180,2.534766,0
0.701538,0.086929,-0.180389,XArbitraryZVertical,0.997093,0.031420,-0.069419,-1.000000,-1.000000,0.000000,0.000000,0.000000,-0.031425,-0.125170,0.675398,-0.095538,-0.720446,1.501287,1.732291,-1.812961,-2.007180,0.095742,0.014463,-0.023446,2.826860,0
0.704926,0.171875,-0.272476,XArbitraryZVertical,0.844658,0.409324,-0.344975,-1.000000,-1.000000,0.000000,0.000000,0.000000,-0.421713,-0.331912,0.571946,0.019771,-0.749881,1.183053,1.332373,-0.248688,-0.383521,-0.068214,-0.318091,0.147968,2.593803,0
1.057526,0.034653,-0.218857,XArbitraryZVertical,0.914148,0.310605,-0.260494,-1.000000,-1.000000,0.000000,0.000000,0.000000,-0.315829,-0.299035,0.607027,-0.035653,-0.735408,1.293195,-2.865458,1.563402,1.409383,-0.006815,-0.139768,0.054073,2.608442,0
