accelerometerAccelerationX,accelerometerAccelerationY,accelerometerAccelerationZ,motionAttitudeReferenceFrame,motionGravityX,motionGravityY,motionGravityZ,motionHeading,motionMagneticFieldAccuracy,motionMagneticFieldX,motionMagneticFieldY,motionMagneticFieldZ,motionPitch,motionQuaternionW,motionQuaternionX,motionQuaternionY,motionQuaternionZ,motionRoll,motionRotationRateX,motionRotationRateY,motionRotationRateZ,motionUserAccelerationX,motionUserAccelerationY,motionUserAccelerationZ,motionYaw,activity
0.074570,0.119965,-0.990417,XArbitraryZVertical,0.073629,0.115390,-0.990588,-1.000000,-1.000000,0.000000,0.000000,0.000000,-0.115648,0.952016,-0.066218,0.017924,0.298260,0.074192,-0.035795,0.003396,0.006366,-0.000784,-0.006168,-0.002729,0.611512,0
0.078140,0.110977,-0.996124,XArbitraryZVertical,0.074004,0.118725,-0.990166,-1.000000,-1.000000,0.000000,0.000000,0.000000,-0.119006,0.951836,-0.067882,0.017588,0.298482,0.074600,-0.107252,0.014657,0.005153,-0.001448,-0.000103,-0.001183,0.612193,0
0.072586,0.110489,-0.988022,XArbitraryZVertical,0.073849,0.120030,-0.990020,-1.000000,-1.000000,0.000000,0.000000,0.000000,-0.120320,0.951813,-0.068484,0.017321,0.298432,0.074455,0.010008,-0.001608,-0.005296,-0.000988,0.006389,0.000121,0.612152,0
0.074875,0.118073,-0.992599,XArbitraryZVertical,0.074421,0.124419,-0.989435,-1.000000,-1.000000,0.000000,0.000000,0.000000,-0.124742,0.951701,-0.070678,0.016946,0.298300,0.075074,-0.038516,0.000311,0.007376,-0.000400,0.000901,-0.002951,0.612170,0
0.074860,0.127106,-0.992798,XArbitraryZVertical,0.074121,0.123513,-0.989571,-1.000000,-1.000000,0.000000,0.000000,0.000000,-0.123829,0.951840,-0.070191,0.016963,0.297970,0.074763,0.008614,0.002726,0.001501,0.001486,0.000159,-0.000770,0.611402,0
0.071136,0.131134,-0.990479,XArbitraryZVertical,0.074218,0.123911,-0.989514,-1.000000,-1.000000,0.000000,0.000000,0.000000,-0.124231,0.951854,-0.070396,0.016956,0.297879,0.074864,-0.009300,-0.001066,0.001362,0.003373,-0.002940,-0.002170,0.611240,0
0.076813,0.120224,-0.990311,XArbitraryZVertical,0.074060,0.122389,-0.989715,-1.000000,-1.000000,0.000000,0.000000,0.000000,-0.122696,0.951907,-0.069640,0.017109,0.297876,0.074691,0.007630,-0.002746,-0.002082,0.001745,-0.000532,-0.001999,0.611134,0
0.073639,0.121475,-0.992218,XArbitraryZVertical,0.073600,0.123075,-0.989664,-1.000000,-1.000000,0.000000,0.000000,0.000000,-0.123388,0.951869,-0.069902,0.016780,0.297956,0.074232,0.006910,0.004520,-0.000581,-0.001334,-0.001630,-0.000753,0.611309,0
0.074844,0.122604,-0.990280,XArbitraryZVertical,0.073763,0.122915,-0.989672,-1.000000,-1.000000,0.000000,0.000000,0.000000,-0.123226,0.951944,-0.069845,0.016899,0.297722,0.074395,-0.003088,-0.005086,0.002209,0.001585,-0.001882,-0.002866,0.610821,0
0.073639,0.121994,-0.993652,XArbitraryZVertical,0.073743,0.123277,-0.989629,-1.000000,-1.000000,0.000000,0.000000,0.000000,-0.123591,0.951964,-0.070014,0.016842,0.297623,0.074378,-0.002089,-0.000613,-0.003517,0.000751,0.003218,0.000386,0.610631,0
