accelerometerAccelerationX,accelerometerAccelerationY,accelerometerAccelerationZ,motionAttitudeReferenceFrame,motionGravityX,motionGravityY,motionGravityZ,motionHeading,motionMagneticFieldAccuracy,motionMagneticFieldX,motionMagneticFieldY,motionMagneticFieldZ,motionPitch,motionQuaternionW,motionQuaternionX,motionQuaternionY,motionQuaternionZ,motionRoll,motionRotationRateX,motionRotationRateY,motionRotationRateZ,motionUserAccelerationX,motionUserAccelerationY,motionUserAccelerationZ,motionYaw,activity
0.009827,0.214218,-0.963409,XArbitraryZVertical,0.037094,0.225340,-0.973574,-1.000000,-1.000000,0.000000,0.000000,0.000000,-0.227292,-0.341447,0.021453,-0.112929,0.932846,0.038083,0.010734,-0.015158,0.015770,-0.005768,-0.009108,-0.006468,-2.435483,0
0.050613,0.213470,-0.981979,XArbitraryZVertical,0.033491,0.224408,-0.973920,-1.000000,-1.000000,0.000000,0.000000,0.000000,-0.226336,-0.341442,0.022988,-0.111856,0.932940,0.034374,0.080911,0.046702,-0.043657,-0.014784,0.029910,0.009167,-2.435997,0
0.033340,0.206573,-0.976624,XArbitraryZVertical,0.034815,0.216998,-0.975551,-1.000000,-1.000000,0.000000,0.000000,0.000000,-0.218738,-0.341934,0.021113,-0.108530,0.933197,0.035672,-0.006271,-0.003127,0.023042,-0.000605,0.001340,-0.001576,-2.435236,0
0.029526,0.218430,-0.975266,XArbitraryZVertical,0.032906,0.212757,-0.976551,-1.000000,-1.000000,0.000000,0.000000,0.000000,-0.214396,-0.343326,0.021424,-0.106139,0.932954,0.033683,0.080118,-0.015956,-0.009300,0.000542,0.008312,-0.003994,-2.432730,0
0.032440,0.219803,-0.979645,XArbitraryZVertical,0.032668,0.210534,-0.977041,-1.000000,-1.000000,0.000000,0.000000,0.000000,-0.212121,-0.343914,0.021209,-0.105023,0.932868,0.033424,0.044852,-0.001412,-0.021277,0.004700,0.005531,-0.006388,-2.431627,0
0.036667,0.207397,-0.976974,XArbitraryZVertical,0.033786,0.216486,-0.975701,-1.000000,-1.000000,0.000000,0.000000,0.000000,-0.218214,-0.342321,0.021553,-0.108097,0.933095,0.034614,0.036700,-0.001950,-0.019392,-0.000110,0.011587,-0.001045,-2.434559,0
0.029190,0.217880,-0.973846,XArbitraryZVertical,0.032898,0.219699,-0.975013,-1.000000,-1.000000,0.000000,0.000000,0.000000,-0.221506,-0.342341,0.022542,-0.109478,0.932904,0.033728,0.018264,-0.000946,-0.007795,-0.002564,0.010220,-0.003778,-2.434430,0
0.040085,0.192810,-0.974655,XArbitraryZVertical,0.033153,0.218205,-0.975340,-1.000000,-1.000000,0.000000,0.000000,0.000000,-0.219975,-0.342908,0.022224,-0.108795,0.932783,0.033979,-0.011155,0.001051,0.004789,-0.005245,0.000499,-0.002901,-2.433274,0
0.033966,0.209457,-0.978012,XArbitraryZVertical,0.034248,0.221920,-0.974463,-1.000000,-1.000000,0.000000,0.000000,0.000000,-0.223783,-0.342775,0.022350,-0.110765,0.932597,0.035131,0.030915,-0.018814,-0.007852,0.007028,-0.004329,-0.004968,-2.433200,0
0.029510,0.231293,-0.979874,XArbitraryZVertical,0.031575,0.216675,-0.975733,-1.000000,-1.000000,0.000000,0.000000,0.000000,-0.218407,-0.342207,0.022616,-0.107805,0.933146,0.032349,0.024680,-0.001391,0.000094,-0.001790,-0.002625,0.006907,-2.435055,0
0.031403,0.225616,-0.978943,XArbitraryZVertical,0.031186,0.216435,-0.975799,-1.000000,-1.000000,0.000000,0.000000,0.000000,-0.218161,-0.342858,0.022832,-0.107607,0.932924,0.031949,0.005368,-0.004015,0.003856,-0.002988,0.002086,-0.002091,-2.433719,0
0.023117,0.230560,-0.999924,XArbitraryZVertical,0.027097,0.202831,-0.978839,-1.000000,-1.000000,0.000000,0.000000,0.000000,-0.204248,-0.342342,0.022302,-0.100415,0.933928,0.027675,0.066364,-0.031328,0.004838,-0.009091,0.021656,0.010882,-2.436053,0
0.007416,0.123047,-1.021500,XArbitraryZVertical,0.029379,0.182928,-0.982687,-1.000000,-1.000000,0.000000,0.000000,0.000000,-0.183964,-0.349230,0.018405,-0.091201,0.932406,0.029888,-0.104001,0.032424,0.144537,-0.010581,0.039499,-0.018045,-2.422088,0
-0.428009,-0.146973,-0.836349,XArbitraryZVertical,-0.234116,-0.027340,-0.971824,-1.000000,-1.000000,0.000000,0.000000,0.000000,0.027343,-0.303240,0.108055,0.049113,0.945493,-0.236399,0.903892,-0.224361,-0.402516,0.116898,-0.083362,0.077232,-2.517631,0
-0.036728,-0.123474,-1.254364,XArbitraryZVertical,-0.149977,-0.151942,-0.976944,-1.000000,-1.000000,0.000000,0.000000,0.000000,0.152533,-0.347309,0.043980,0.097947,0.931584,-0.152327,-0.148166,0.057144,0.337973,-0.161470,0.061427,-0.045501,-2.416223,0
0.153214,0.232498,-0.912064,XArbitraryZVertical,-0.177400,0.019096,-0.983954,-1.000000,-1.000000,0.000000,0.000000,0.000000,-0.019097,-0.402572,0.085334,0.027228,0.910995,-0.178377,-0.712412,0.590350,0.469444,0.163331,-0.073738,0.175696,-2.311099,0
1.467056,0.348770,-0.667465,XArbitraryZVertical,0.844371,0.259014,-0.468988,-1.000000,-1.000000,0.000000,0.000000,0.000000,-0.262001,-0.621432,-0.229664,-0.461260,0.590183,1.063794,-1.270530,2.567437,3.152795,0.258794,0.132603,-0.306143,-1.364467,0
0.978928,0.165497,-0.386658,XArbitraryZVertical,0.963604,-0.021834,-0.266440,-1.000000,-1.000000,0.000000,0.000000,0.000000,0.021836,-0.681507,-0.324329,-0.511459,0.410815,1.301033,0.189250,-0.247802,-0.941766,0.015079,0.167220,0.001151,-1.101576,0
0.933594,0.044724,-0.317902,XArbitraryZVertical,0.949538,0.093826,-0.299291,-1.000000,-1.000000,0.000000,0.000000,0.000000,-0.093964,-0.569487,-0.375714,-0.457377,0.570377,1.265457,2.270956,0.195113,-0.284423,0.093477,0.024232,0.045491,-1.503431,0
0.954437,0.058441,-0.305038,XArbitraryZVertical,0.949201,0.095765,-0.299744,-1.000000,-1.000000,0.000000,0.000000,0.000000,-0.095912,-0.497481,-0.426601,-0.410048,0.634338,1.264921,0.047621,0.069563,-0.139536,-0.011762,-0.049867,-0.021682,-1.741144,0
0.955215,0.079910,-0.274551,XArbitraryZVertical,0.959544,0.038369,-0.278934,-1.000000,-1.000000,0.000000,0.000000,0.000000,-0.038378,-0.503679,-0.450887,-0.396528,0.621107,1.287899,-0.068998,0.139094,0.310505,-0.006907,0.022529,-0.025311,-1.750032,0
0.970139,0.035553,-0.294266,XArbitraryZVertical,0.963116,0.018932,-0.268420,-1.000000,-1.000000,0.000000,0.000000,0.000000,-0.018933,-0.516755,-0.452387,-0.401418,0.605949,1.298994,-0.060068,-0.024449,-0.071274,-0.006924,0.064366,-0.010023,-1.714976,0
0.964249,0.060562,-0.285645,XArbitraryZVertical,0.958541,0.064840,-0.277478,-1.000000,-1.000000,0.000000,0.000000,0.000000,-0.064886,-0.500455,-0.442153,-0.407139,0.623124,1.289019,0.073714,-0.015358,-0.142925,0.013993,-0.035452,-0.016574,-1.739514,0
0.958893,0.032761,-0.271347,XArbitraryZVertical,0.954517,0.073549,-0.288944,-1.000000,-1.000000,0.000000,0.000000,0.000000,-0.073615,-0.500396,-0.436325,-0.406384,0.627755,1.276853,-0.071916,-0.014554,0.037016,0.007459,-0.026521,0.010044,-1.740987,0
0.969238,0.044266,-0.295700,XArbitraryZVertical,0.960843,0.044872,-0.273434,-1.000000,-1.000000,0.000000,0.000000,0.000000,-0.044887,-0.507876,-0.446479,-0.404894,0.615450,1.293548,-0.230542,0.079028,0.160359,0.003832,0.014043,-0.001819,-1.727844,0
0.969177,0.074921,-0.274338,XArbitraryZVertical,0.963143,0.029767,-0.267337,-1.000000,-1.000000,0.000000,0.000000,0.000000,-0.029772,-0.517558,-0.447488,-0.407537,0.604815,1.300045,-0.090576,-0.066554,0.002499,0.010535,0.029162,-0.044599,-1.703336,0
0.960800,-0.018433,-0.348129,XArbitraryZVertical,0.956139,0.051324,-0.288381,-1.000000,-1.000000,0.000000,0.000000,0.000000,-0.051347,-0.522734,-0.431166,-0.412196,0.609048,1.277863,-0.015908,-0.101600,-0.092112,0.002860,0.004676,0.016897,-1.684882,0
0.932556,0.047440,-0.330170,XArbitraryZVertical,0.937498,0.092846,-0.335377,-1.000000,-1.000000,0.000000,0.000000,0.000000,-0.092980,-0.547912,-0.387488,-0.426808,0.606202,1.227246,-1.093716,-0.343158,0.087829,0.011996,-0.091396,-0.004039,-1.606212,0
0.905655,0.278809,-0.316635,XArbitraryZVertical,0.925265,0.096340,-0.366882,-1.000000,-1.000000,0.000000,0.000000,0.000000,-0.096490,-0.618551,-0.327682,-0.457366,0.548485,1.193297,-0.949596,-0.131793,0.402392,-0.000720,-0.036907,0.059097,-1.385300,0
0.978317,0.070099,-0.406204,XArbitraryZVertical,0.940052,0.061234,-0.335488,-1.000000,-1.000000,0.000000,0.000000,0.000000,-0.061272,-0.643902,-0.324626,-0.476313,0.503124,1.228004,0.962927,0.296176,0.034398,-0.022358,0.178680,0.016991,-1.283354,0
0.944839,0.058578,-0.341187,XArbitraryZVertical,0.954683,0.044814,-0.294230,-1.000000,-1.000000,0.000000,0.000000,0.000000,-0.044829,-0.581157,-0.390164,-0.447948,0.556211,1.271837,0.661757,-0.038015,-0.311494,0.019514,0.003022,-0.114111,-1.493841,0
0.922989,0.070648,-0.341141,XArbitraryZVertical,0.929879,0.066760,-0.361757,-1.000000,-1.000000,0.000000,0.000000,0.000000,-0.066809,-0.567483,-0.381231,-0.416875,0.599033,1.199776,0.058298,-0.295449,-0.026327,0.008628,-0.012454,0.014696,-1.579171,0
0.939667,0.115631,-0.396301,XArbitraryZVertical,0.924655,0.071784,-0.373980,-1.000000,-1.000000,0.000000,0.000000,0.000000,-0.071846,-0.577674,-0.369820,-0.419814,0.594376,1.186457,-0.512517,0.169672,0.007771,0.000806,-0.013968,0.027239,-1.550842,0
0.949860,0.103806,-0.349350,XArbitraryZVertical,0.944641,0.076169,-0.319141,-1.000000,-1.000000,0.000000,0.000000,0.000000,-0.076243,-0.596608,-0.360143,-0.459050,0.551026,1.244992,-0.153554,0.130571,0.139696,0.004486,0.013263,-0.062482,-1.436671,0
0.941772,0.086136,-0.368637,XArbitraryZVertical,0.945964,0.053896,-0.319762,-1.000000,-1.000000,0.000000,0.000000,0.000000,-0.053922,-0.600391,-0.367686,-0.452687,0.547185,1.244827,-0.285513,-0.135436,-0.044225,0.011769,0.006834,-0.012788,-1.439438,0
0.899918,0.157669,-0.340454,XArbitraryZVertical,0.929199,0.109219,-0.353074,-1.000000,-1.000000,0.000000,0.000000,0.000000,-0.109437,-0.612192,-0.327823,-0.464753,0.549324,1.207670,-0.456173,-0.252350,-0.108693,0.028397,-0.054989,-0.019424,-1.387123,0
0.918457,0.132828,-0.359100,XArbitraryZVertical,0.919353,0.158779,-0.359972,-1.000000,-1.000000,0.000000,0.000000,0.000000,-0.159454,-0.631584,-0.284666,-0.488855,0.530177,1.197596,-0.109113,-0.028288,0.068075,-0.009685,0.000477,0.018404,-1.287731,0
0.925797,0.201813,-0.357193,XArbitraryZVertical,0.935573,0.118636,-0.332608,-1.000000,-1.000000,0.000000,0.000000,0.000000,-0.118916,-0.639589,-0.299131,-0.494183,0.507178,1.229219,-0.131188,0.234434,0.397035,0.005482,-0.011748,-0.006091,-1.256904,0
0.968521,0.151535,-0.290588,XArbitraryZVertical,0.948641,0.100409,-0.299995,-1.000000,-1.000000,0.000000,0.000000,0.000000,-0.100579,-0.666816,-0.279180,-0.521595,0.453160,1.264511,-0.078327,0.043662,0.094876,-0.008059,0.092004,-0.065285,-1.120080,0
0.916702,0.118286,-0.300186,XArbitraryZVertical,0.943293,0.136143,-0.302759,-1.000000,-1.000000,0.000000,0.000000,0.000000,-0.136567,-0.661656,-0.265491,-0.527385,0.462159,1.260223,0.093668,-0.047839,-0.266939,0.039266,0.014995,-0.010412,-1.119751,0
0.947952,0.124466,-0.359573,XArbitraryZVertical,0.921941,0.172891,-0.346603,-1.000000,-1.000000,0.000000,0.000000,0.000000,-0.173764,-0.648093,-0.261348,-0.508326,0.503266,1.211194,0.492173,-0.017472,-0.164854,-0.008626,-0.027277,0.035110,-1.200065,0
0.930115,0.103958,-0.354645,XArbitraryZVertical,0.931348,0.121525,-0.343253,-1.000000,-1.000000,0.000000,0.000000,0.000000,-0.121826,-0.625754,-0.310314,-0.481746,0.529206,1.217688,0.514983,0.165960,0.173535,-0.011319,-0.001438,-0.018365,-1.319005,0
0.920700,0.077682,-0.342804,XArbitraryZVertical,0.930828,0.094440,-0.353043,-1.000000,-1.000000,0.000000,0.000000,0.000000,-0.094581,-0.620018,-0.328536,-0.464266,0.540462,1.208280,0.033329,-0.072214,-0.068397,-0.019345,0.023236,0.008164,-1.368593,0
0.923080,0.083817,-0.356888,XArbitraryZVertical,0.926583,0.113683,-0.358496,-1.000000,-1.000000,0.000000,0.000000,0.000000,-0.113930,-0.609701,-0.327210,-0.462261,0.554539,1.201633,0.013617,-0.025735,-0.160059,0.030356,-0.020391,0.007956,-1.397982,0
0.934723,0.097183,-0.363281,XArbitraryZVertical,0.927774,0.104255,-0.358284,-1.000000,-1.000000,0.000000,0.000000,0.000000,-0.104445,-0.607000,-0.334140,-0.457393,0.557399,1.202264,-0.009737,0.041021,0.084950,0.003440,-0.007636,0.001732,-1.413989,0
0.923828,0.091690,-0.354492,XArbitraryZVertical,0.932646,0.086955,-0.350159,-1.000000,-1.000000,0.000000,0.000000,0.000000,-0.087065,-0.609649,-0.341228,-0.456601,0.550824,1.211634,-0.015771,-0.012825,-0.008395,-0.001707,0.018591,-0.015976,-1.409172,0
0.929520,0.079895,-0.361557,XArbitraryZVertical,0.927630,0.098355,-0.360317,-1.000000,-1.000000,0.000000,0.000000,0.000000,-0.098514,-0.606498,-0.337244,-0.453992,0.558854,1.200306,-0.016095,-0.078138,-0.115674,-0.002322,-0.005383,0.006099,-1.421626,0
0.924438,0.101349,-0.363495,XArbitraryZVertical,0.927056,0.104813,-0.359973,-1.000000,-1.000000,0.000000,0.000000,0.000000,-0.105006,-0.602544,-0.337318,-0.454126,0.562963,1.200420,0.021401,0.019582,0.014360,0.009818,-0.018769,0.007434,-1.430995,0
0.918945,0.095886,-0.345581,XArbitraryZVertical,0.933189,0.088853,-0.348230,-1.000000,-1.000000,0.000000,0.000000,0.000000,-0.088970,-0.604430,-0.344784,-0.454983,0.555679,1.213638,0.041375,0.083606,0.103189,0.000207,0.009688,-0.009573,-1.425015,0
0.945465,0.087784,-0.348923,XArbitraryZVertical,0.932957,0.090766,-0.348357,-1.000000,-1.000000,0.000000,0.000000,0.000000,-0.090891,-0.606977,-0.341741,-0.457203,0.552954,1.213437,-0.028699,-0.001197,-0.032099,0.004268,0.012612,-0.004044,-1.414610,0
0.941498,0.092651,-0.341354,XArbitraryZVertical,0.933263,0.093989,-0.346677,-1.000000,-1.000000,0.000000,0.000000,0.000000,-0.094128,-0.603366,-0.343298,-0.456955,0.556137,1.215126,0.021696,0.000898,-0.032108,0.024760,0.000676,-0.001299,-1.423904,0
0.943756,0.090759,-0.343170,XArbitraryZVertical,0.933849,0.090696,-0.345979,-1.000000,-1.000000,0.000000,0.000000,0.000000,-0.090820,-0.604056,-0.344410,-0.456500,0.555073,1.215988,0.026374,0.054461,0.071918,0.022206,-0.001188,-0.002242,-1.423101,0
0.922897,0.080566,-0.351929,XArbitraryZVertical,0.932228,0.088179,-0.350963,-1.000000,-1.000000,0.000000,0.000000,0.000000,-0.088294,-0.607475,-0.342349,-0.455319,0.553585,1.210731,0.007907,-0.017379,-0.000376,0.000603,0.009889,0.003139,-1.416910,0
0.965805,0.088684,-0.362350,XArbitraryZVertical,0.931322,0.087038,-0.353643,-1.000000,-1.000000,0.000000,0.000000,0.000000,-0.087148,-0.608220,-0.342034,-0.454083,0.553976,1.207892,-0.026404,-0.008011,-0.026015,-0.001833,0.003355,0.017691,-1.417369,0
0.938309,0.089951,-0.375580,XArbitraryZVertical,0.932059,0.088530,-0.351324,-1.000000,-1.000000,0.000000,0.000000,0.000000,-0.088646,-0.607232,-0.342342,-0.455126,0.554014,1.210332,-0.028640,-0.010322,0.018829,-0.001944,-0.013746,0.005804,-1.417862,0
0.941498,0.098892,-0.332458,XArbitraryZVertical,0.937199,0.081806,-0.339066,-1.000000,-1.000000,0.000000,0.000000,0.000000,-0.081897,-0.603517,-0.349847,-0.456151,0.552539,1.223661,0.002655,0.006908,-0.032425,0.008205,-0.017093,-0.019775,-1.425181,0
0.933487,0.074402,-0.365875,XArbitraryZVertical,0.932092,0.086336,-0.351781,-1.000000,-1.000000,0.000000,0.000000,0.000000,-0.086443,-0.605125,-0.345089,-0.452795,0.556520,1.209914,0.060768,0.019855,-0.013479,-0.001093,0.004943,0.026449,-1.427374,0
0.939575,0.087341,-0.345383,XArbitraryZVertical,0.935530,0.085050,-0.342857,-1.000000,-1.000000,0.000000,0.000000,0.000000,-0.085153,-0.603250,-0.348127,-0.455389,0.554543,1.219512,0.010662,-0.007902,0.021704,0.002428,-0.001234,-0.008858,-1.427206,0
0.929520,0.084946,-0.313400,XArbitraryZVertical,0.936005,0.081614,-0.342395,-1.000000,-1.000000,0.000000,0.000000,0.000000,-0.081705,-0.605030,-0.348378,-0.455450,0.552391,1.220112,0.070250,0.037017,0.027016,-0.007401,0.014394,-0.010556,-1.422771,0
0.952087,0.065414,-0.348160,XArbitraryZVertical,0.933945,0.095074,-0.344539,-1.000000,-1.000000,0.000000,0.000000,0.000000,-0.095218,-0.603207,-0.343103,-0.458269,0.555348,1.217378,-0.022972,0.011707,-0.086389,0.008865,-0.001553,0.006481,-1.421835,0
0.939865,0.083633,-0.330566,XArbitraryZVertical,0.937171,0.085893,-0.338130,-1.000000,-1.000000,0.000000,0.000000,0.000000,-0.085999,-0.603480,-0.347971,-0.458095,0.552157,1.224534,0.090902,-0.004685,0.040619,0.010857,0.026488,-0.010686,-1.421616,0
0.949509,0.089020,-0.342163,XArbitraryZVertical,0.936188,0.090445,-0.339665,-1.000000,-1.000000,0.000000,0.000000,0.000000,-0.090569,-0.603209,-0.345826,-0.458881,0.553146,1.222749,-0.016745,0.000526,-0.046552,0.005112,0.007562,0.000736,-1.420755,0
0.946716,0.094070,-0.343124,XArbitraryZVertical,0.936295,0.089541,-0.339610,-1.000000,-1.000000,0.000000,0.000000,0.000000,-0.089661,-0.602291,-0.347035,-0.457998,0.554121,1.222838,-0.013395,-0.018212,0.014808,0.009064,-0.006976,-0.000982,-1.424659,0
0.940704,0.083832,-0.348495,XArbitraryZVertical,0.935945,0.083513,-0.342099,-1.000000,-1.000000,0.000000,0.000000,0.000000,-0.083610,-0.603790,-0.348504,-0.455517,0.553613,1.220370,-0.001036,-0.014114,-0.001045,0.000334,0.006346,0.003965,-1.425666,0
0.866516,0.096695,-0.276718,XArbitraryZVertical,0.935765,0.086755,-0.341785,-1.000000,-1.000000,0.000000,0.000000,0.000000,-0.086864,-0.602080,-0.348361,-0.455798,0.555331,1.220604,0.001051,-0.009276,-0.043478,-0.006917,-0.000207,0.007267,-1.429287,0
0.988541,0.129349,-0.367615,XArbitraryZVertical,0.943983,0.112085,-0.310376,-1.000000,-1.000000,0.000000,0.000000,0.000000,-0.112321,-0.592259,-0.346809,-0.473852,0.551741,1.253136,0.143342,0.475372,0.007405,0.093218,0.022787,0.019773,-1.418644,0
1.003494,0.076782,-0.213730,XArbitraryZVertical,0.972210,0.060156,-0.226249,-1.000000,-1.000000,0.000000,0.000000,0.000000,-0.060192,-0.569367,-0.398245,-0.477783,0.537537,1.342150,0.079348,0.155818,0.186693,-0.000485,-0.011145,-0.004235,-1.465501,0
0.962936,-0.051941,-0.127106,XArbitraryZVertical,0.982608,0.025255,-0.183969,-1.000000,-1.000000,0.000000,0.000000,0.000000,-0.025258,-0.581174,-0.406055,-0.493087,0.504203,1.385714,-0.042992,0.059083,0.022487,-0.006488,0.044249,-0.037131,-1.408233,0
1.012238,0.016266,-0.182953,XArbitraryZVertical,0.989044,-0.002172,-0.147603,-1.000000,-1.000000,0.000000,0.000000,0.000000,0.002172,-0.562532,-0.438279,-0.483849,0.507306,1.422652,-0.107049,0.179566,0.147238,0.005646,-0.005503,0.015462,-1.469519,0
0.974319,0.015961,-0.152328,XArbitraryZVertical,0.989533,-0.021912,-0.142633,-1.000000,-1.000000,0.000000,0.000000,0.000000,0.021914,-0.547511,-0.461781,-0.464158,0.521103,1.427641,0.287614,-0.191383,-0.172801,0.014236,0.048188,-0.019401,-1.540364,0
0.974960,0.038162,-0.212082,XArbitraryZVertical,0.978668,0.043658,-0.200754,-1.000000,-1.000000,0.000000,0.000000,0.000000,-0.043672,-0.522256,-0.447531,-0.446474,0.572386,1.368473,0.305909,-0.111691,-0.186762,0.010284,-0.061923,0.075556,-1.626698,0
0.973740,0.089951,-0.246536,XArbitraryZVertical,0.974965,0.051385,-0.216340,-1.000000,-1.000000,0.000000,0.000000,0.000000,-0.051407,-0.523970,-0.440846,-0.444392,0.577603,1.352439,-0.199134,-0.053191,-0.037920,0.008617,0.008186,-0.029495,-1.626842,0
0.966141,0.056885,-0.227768,XArbitraryZVertical,0.971569,0.060708,-0.228843,-1.000000,-1.000000,0.000000,0.000000,0.000000,-0.060745,-0.528260,-0.431765,-0.446271,0.579105,1.339473,0.146787,-0.009069,-0.027260,0.007344,0.014747,-0.001092,-1.614458,0
